school_id,miur_code,score,school_name
"29503
",TNEE813064,"5,0","

                
SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO
            
"
"29504
",TNEE813075,"5,0","

                
SCUOLA PRIMARIA ""P. MARTINELLI"" RONCEGNO TERME
            
"
"29510
",TNMM81302V,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ""M. POLA"" RONCEGNO TERME
            
"
"29783
",TNTD001011,"5,0","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO
            
"
"29784
",TNTD001509,"5,0","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO
            
"
"29785
",TNTL00101B,"4,7","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29786
",TNTD001509,"5,0","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO
            
"
"29787
",TNPS001015,"4,7","

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
            
"
"29788
",TNPS001015,"4,7","

                
LICEO LINGUISTICO
            
"
"29789
",TNPS001015,"4,7","

                
LICEO SCIENTIFICO
            
"
"65579
",TNPS001015,"4,7","

                
LICEO DELLE SCIENZE UMANE
            
"
"65577
",TNMM861017,"1,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO BRENTONICO
            
"
"29225
",TN1E00900D,"2,6","

                
ASSOCIAZIONE R. STEINER - PRIMARIA
            
"
"29226
",TN1M007003,"2,6","

                
ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO
            
"
"29228
",nan,"5,0","

                
Asilo Colle Fiorito
            
"
"29230
",TNTD37500F,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29231
",TNTD37500F,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29232
",TNPC01500V,"3,9","

                
LICEO CLASSICO ARCIVESCOVILE - TRENTO
            
"
"29233
",TNPL085003,"3,9","

                
LICEO LINGUISTICO ARCIVESCOVILE - TRENTO
            
"
"29234
",TNPS015002,"3,9","

                
LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO
            
"
"29235
",TN1E00100V,"3,9","

                
SCUOLA PRIMARIA ARCIVESCOVILE TRENTO
            
"
"29236
",TN1M00400G,"3,9","

                
SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO
            
"
"29238
",TNPL005006,"5,0","

                
LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO
            
"
"29239
",TN1E006002,"5,0","

                
SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO
            
"
"29240
",TN1M00200X,"5,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO
            
"
"29245
",TN1E005006,"5,0","

                
SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO
            
"
"29247
",TNCF009001,"4,5","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29249
",TNFP249STA,"3,3","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29333
",nan,"4,3","

                
Scuola dell'Infanzia di Levico Terme ""Taita Marcos""
            
"
"29351
",nan,"2,5","

                
Scuola dell'Infanzia di Trento  Mattarello  ""Il Castello""
            
"
"29354
",nan,"3,0","

                
Scuola dell'Infanzia di Trento S.Giuseppe   ""Maso Ginocchio - Collodi""
            
"
"29254
",TNFP251STA,"5,0","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29258
",TNFP254STA,"4,0","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29259
",TNFP254STA,"4,0","

                
SETTORE SERVIZI
            
"
"29261
",TNCF001001,"3,7","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29262
",TNCF001001,"3,7","

                
SETTORE SERVIZI
            
"
"29264
",TNCF007001,"5,0","

                
SETTORE SERVIZI
            
"
"29267
",nan,"3,6","

                
SETTORE INDUSTRIA E ARTIGIANATO SERALE
            
"
"29269
",TNFP272STA,"4,0","

                
SETTORE SERVIZI
            
"
"29273
",TNCF004001,"4,5","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29275
",TNFP261STA,"5,0","

                
SETTORE SERVIZI
            
"
"29277
",TNFP262STA,"4,7","

                
SETTORE SERVIZI
            
"
"29284
",nan,"4,2","

                
SETTORE SERVIZI SERALE
            
"
"29286
",TNFP253STA,"5,0","

                
SETTORE INDUSTRIA E ARTIGIANATO
            
"
"29287
",TNFP253STA,"5,0","

                
SETTORE SERVIZI
            
"
"29803
",TNTD00301L,"4,7","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29804
",TNRC00350N,"4,7","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29805
",TNTD00301L,"4,7","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29806
",TNPS00301R,"4,7","

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
            
"
"29807
",TNPS00301R,"4,7","

                
LICEO SCIENTIFICO
            
"
"29808
",TNPS00301R,"4,7","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29816
",TNSD020011,"4,9","

                
LICEO ARTISTICO ""Depero""- ROVERETO
            
"
"29817
",TNSD02000X,"4,3","

                
LICEO ARTISTICO ""Vittoria"" - Trento
            
"
"29819
",TNSD02000X,"4,6","

                
LICEO MUSICALE COREUTICO 
            
"
"29821
",TNTD035003,"4,4","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29822
",TNTD035003,"4,4","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29823
",TNPM015003,"4,4","

                
LICEO ARTISTICO
            
"
"29824
",TNPM015003,"4,4","

                
LICEO DELLE SCIENZE UMANE
            
"
"29825
",TN1E00300E,"4,4","

                
SCUOLA PRIMARIA SACRO CUORE TRENTO
            
"
"29826
",TN1M006007,"4,4","

                
SCUOLA SECONDARIA DI PRIMO GRADO SACRO CUORE TRENTO
            
"
"29828
",TN1M00500B,"4,5","

                
SCUOLA SECONDARIA DI PRIMO GRADO MARIA AUSILIATRICE TRENTO
            
"
"29830
",TN1E00200P,"4,0","

                
SCUOLA PRIMARIA SANTA CROCE MEZZANO
            
"
"29831
",TN1M001004,"4,0","

                
SCUOLA SECONDARIA DI PRIMO GRADO SANTA CROCE MEZZANO
            
"
"29833
",TNTD18000T,"3,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29834
",TNTD180507,"3,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29837
",TNTD100001,"4,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29838
",TNTD10050A,"4,6","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29839
",TNTD100001,"4,6","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29840
",TNTD10050A,"4,6","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29842
",TNTD020009,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO
            
"
"29843
",TNTD02050P,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
            
"
"29844
",TNTD020009,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29845
",TNTD02050P,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29853
",TNTF02000G,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29854
",TNTF020501,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29856
",TNTF01301D,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
"
"29857
",TNTF01351V,"3,9","

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
            
"
"29877
",TNPC02000A,"4,2","

                
LICEO CLASSICO
            
"
"29878
",TNPC02000A,"4,2","

                
LICEO LINGUISTICO
            
"
"29879
",TNPC02000A,"4,2","

                
LICEO SCIENTIFICO
            
"
"29880
",TNPC02000A,"4,2","

                
LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
            
"
"29883
",TNPM01000X,"3,9","

                
LICEO DELLE SCIENZE UMANE
            
"
"29884
",TNPM01000X,"3,9","

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
            
"
"29885
",TNPM010509,"3,9","

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE SERALE
            
"
"29887
",TNPM006019,"3,8","

                
LICEO CLASSICO
            
"
"29888
",TNPM006019,"3,8","

                
LICEO DELLE SCIENZE UMANE
            
"
"29889
",TNPM006019,"3,8","

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
            
"
"29890
",TNPS006018,"3,8","

                
LICEO LINGUISTICO
            
"
